"ID","DATE","YEAR","INDICATOR","MEASURE1","MEASURE2","MEASURE1_DESCRIPTION","MEASURE2_DESCRIPTION","VALUE1","UNITS","NOTE","SOURCE"
"1_2019_01_06","2019 Jan 06 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,692,044","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_01_13","2019 Jan 13 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,032,538","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_01_20","2019 Jan 20 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,037,507","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_01_27","2019 Jan 27 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,032,424","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_02_03","2019 Feb 03 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,055,851","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_02_10","2019 Feb 10 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,932,959","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_02_17","2019 Feb 17 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,892,674","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_02_24","2019 Feb 24 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,742,513","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_03_03","2019 Mar 03 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,724,176","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_03_10","2019 Mar 10 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,884,894","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_03_17","2019 Mar 17 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,951,550","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_03_24","2019 Mar 24 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,792,103","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
